student,What time do you normally eat lunch during the week?,pref Exchange,pref Resnik Cafe,pref La Prima,pref ABP,pref Chipotle,travel Exchange,travel Resnik Cafe,travel La Prima,travel ABP,travel Chipotle,wait Exchange,wait Resnik Cafe,wait La Prima,wait ABP,wait Chipotle
11/12/2019 16:45:01,1 pm - 2pm,90,0,40,100,70,7,10,3,7,10,10,10,10,15,7
11/12/2019 16:45:11,1 pm - 2pm,70,0,40,90,100,5,7,2,8,6,10,5,10,10,10
11/12/2019 16:47:36,1 pm - 2pm,40,0,70,100,90,5,7,1,5,5,15,5,10,10,15
11/12/2019 17:06:42,1 pm - 2pm,90,100,0,70,40,5,2,10,7,15,10,10,5,10,10
11/12/2019 17:27:48,1 pm - 2pm,100,70,0,90,40,10,10,12,7,6,15,10,3,5,5
11/12/2019 17:46:18,1 pm - 2pm,90,40,70,100,0,10,10,10,5,20,5,5,5,10,0
11/13/2019 11:17:13,1 pm - 2pm,40,70,0,90,100,10,7,15,7,15,5,15,5,25,35
11/13/2019 11:19:59,1 pm - 2pm,70,90,0,40,100,5,9,2,7,10,5,4,0,0,30
11/14/2019 12:53:24,1 pm - 2pm,100,0,40,70,90,5,8,2,4,8,7,5,0,10,10
11/18/2019 22:45:37,1 pm - 2pm,100,0,70,90,40,6,8,4,6,15,20,15,10,15,10
