student,What time do you normally eat lunch during the week?,pref Exchange,pref Resnik Cafe,pref La Prima,pref ABP,pref Chipotle,travel Exchange,travel Resnik Cafe,travel La Prima,travel ABP,travel Chipotle,wait Exchange,wait Resnik Cafe,wait La Prima,wait ABP,wait Chipotle
11/12/2019 16:55:33,11 am - 12 pm,100,0,90,40,70,0,20,4,10,15,60,1,7,4,13
11/12/2019 17:02:48,11 am - 12 pm,100,0,70,40,90,5,12,5,8,15,5,5,5,5,5
11/12/2019 17:15:13,11 am - 12 pm,90,0,70,40,100,10,5,5,10,15,10,5,5,10,15
11/12/2019 18:08:56,11 am - 12 pm,100,70,0,90,40,6,7,8,5,10,5,3,5,5,3
11/12/2019 18:40:18,11 am - 12 pm,70,40,100,90,0,5,10,2,8,20,10,8,10,20,5
11/12/2019 19:15:24,11 am - 12 pm,100,40,70,90,0,8,15,2,10,20,20,10,15,10,10
11/12/2019 19:47:44,11 am - 12 pm,100,90,0,40,70,15,20,5,10,20,10,10,5,5,5
11/12/2019 22:26:19,11 am - 12 pm,0,40,70,90,100,45,1,45,31,60,5,5,5,5,5
11/13/2019 7:36:58,11 am - 12 pm,100,40,0,90,70,10,15,5,15,20,20,5,10,15,10
11/13/2019 11:52:22,11 am - 12 pm,40,0,90,70,100,10,15,10,5,10,15,0,10,15,15
